Tag,Comment
0,of what code is available in the zip file most of it is understandable. the devise gem seems unnecessary to their implementation however.
0,though not much hand write but still great code with good project structure.
0, link is not submitted. i downloaded the repo and it has barely commits with basic scaffolds and schema generated for and houses
0,not unloaded on git.
0,there is no link provided. instead the code was zipped in an archive and posted on the code has no implementation of any functionality whatsoever however scaffold code files exist in the zip with nil developer implementation. code for house is added though.
0,i don see the git link here. requesting to unload the git link and deployment in instead of the project folders
0,the git repository link is not provided. a zip file is provided instead.
0,no or git link code is difficult to sort through from the zip file.
0,can not load the online page.
0,cannon run the app
0,no file found
0,the project is not deployed on either of mentioned cloud platforms such as hero was or instead an locally run server ip link is provided which does seem to work. as result i cannon test the interface at all. no is provided as well.
0,i don see the deployment to comment on this and rest other ui questions. requesting to unload the git link and deployment in instead of the project folders
0,the link seems to be local deployment.
0,all tests in the zip file are scaffold generated.
0,yes the house controller has been tested.
0,no testing has been done apart from the auto generated tests.
0,test cases for house controller have been implemented in the code. no test cases for model exist.
0,i don see the git link to comment on this. requesting the team to unload the git link and deployment in instead of the project folders
0,the link to git is not provided.
0,no git link available to track progress.
0,can not tell without git link.
1,only commits no link. hard to review. please update the submission with link so other reviewers can maybe give some proper feedback after testing the app.
0,the zip posted does seem to be updated again later after st oct
1,i don see the git link to comment on this. requesting the team to unload the git link and deployment in instead of the project folders
0,no test cases have been implemented for any entity.
0,yes the controllers have been properly tested.
0, there are some tests for the controllers but it looks like just the scaffold generated tests.
0,the team has implemented modules like login sign layout list all companies and list all houses. however they lack in many and under each module. so they are not properly implemented. they lack validations session management and things like multiple same email addresses can be registered with different users. hence no the team has not thoroughly tested at least one model or controller.
0,only the default created by the command are present in the repository.
0,there are commits done however all have been made on one day.
0,there are no proper commit messages.
0,no i just see all commits happened in one day so i don think the team has been keeping on pushing their changes.
0, no there has been only one commit on.
0,no the changes were made and pushed only in one particular day. there is no consistent flow on for pushing.
0,all the changes were pushed on single day. the last day of submission.
0,nothing mentioned in file. user interface not provided links for reactor creation. no link for house hunter.
0,basic navigation is missing. for example once user click on the edit profile and tries to navigate its difficult to return to home page. there are no details available in the file to help with the application flow.
0, file is not updated and there are no instructions on how an admin or house hunter can log in. the ui though it didn have any styling is intuitive and self explanatory.
0,no not really. the webster just has one role to operate and the file is an auto generated file which does include any useful information.
0,nearly all of the links seem to go to the wrong pages. for example back in viewing houses took me to list of users that had signed up while logged in as reactor
0,interface is very basic it lacks in many major that made the navigation through the site difficult. was not well described to understand the team work and their .
0,the file is not maintained by the developer. the design is not complete. whatever is done is intuitive but incomplete.
0,some indentation issues in the projector example in indentation is not proper. spelling example in hunters view in preferred spelling is wrong.
0,the ruby coding convention has been followed through out the project.
1,the team followed good practices. no repetition of the code. dry principles uses. how there is an empty controller though which is the commons controller what is its purpose.
1,the mac structure is good but some details should be improved.
0, yeah in way. the scaffolding generated code follows convention.
1,the code follows the common ruby on rails application structure hence it was easy for me to navigate through other files to see portion of the code. it follows the common mac structure. however in some parts of the code comments were missing which was confusing as i didn understand the logic for that code. file was not properly described for other users navigating through app.
0,the application is according to the ruby practices but lacks the use of ruby features such as validations associations and active record.
1,the code is very well written properly organised and good architecture. no repetition. cons application logic written in controllers for example house controller which can be ported to the respective models.
0,the controllers are well written.
0,the code follows good ruby and rails coding practice from my point of view.
0,requesting to git link to verify the same
0,have used dry principles. the code has good readability and good naming conventions are followed. have grouped similar into classes so that it is have used such as each instead of for and while.
0,ui ux is awesome and intuitive. read me file is also well described.
0,the is empty and does not contain the admin account information. it hard to navigate around the interface and determine where all the functionality is.
1,ui looks nice but i found the it to be bit confusing. the relation between user house hunter and reactor is not apparent. it would helpful if it could be explained in detail in the file.
0,the interface was simple. some of the fields input were not mentioned like for creating house
0,requesting to git link to verify the same. but downloaded the zipped file to see if there is admin credentials in file and it was not there.
0,the user interface is easy to use and the file is explicit.
0,great ui. admin dashboard looks very professional.
0,controller test cases have been covered but no model test cases can be seen.
0,tests exist for the controller but not models.
0,spec folder is not there. there are some tests in the test folder.
0,i was able to check for the reactor and house hunter. some of the functionality of reactor and were working.
0,yes you have the tests written.
1,the basics test are written. some application specific tests can be written.
0,there are only four commits visible and no proper commit messages. initial commit has file changes.
0,all commits were made on one day
0,it seems that there is only one team member pushing changes.
0,looks like the team has committed the project as whole. bug fixes are done incrementally.
0,the project has successfully named it and function names according to the principle. they are understandable form what the mean. but the project lacks any documentation internally as well as proper external file. lack of code documentation makes it tough for the reviewer to make sense of the code. apart from that the design of the database schema in normalized to much extent which makes data entries redundant.
0,the mac structure is completed. and basic functions have been finished.
0,the model and controller are well designed. each method covers single functionality. good job
0,from what i see it looks like code we have seen in class. although in the model classes they don have any associations between models.
1,the code itself appears to be very clean. the lack of scaffolding or the stripped down scaffolding that it presents means there a lot less dead code in the files. all the indentation and variable names appear to follow convention as well. this cleanliness on further inspection appear to stem from the fact that the application frequently does not support needed functionality. the code that there is clean though.
1,overall the code looks fine. good code is self documenting so your code could be improved by adding comments in all required places. make use of different logging options provided by for and avoid using puts in code.
1,the code is structured as per basic rails norms. the crud operations operations actions could have followed the usual norms than custom actions defined. the routes config could have been more efficiently defined using match than defining each routes separately.
1,all users have their own model controllers. the code is following ruby on rails standards but there are some debut puts that should be removed.
